antecedent_idx,consequent_idx,pair_count,support,confidence,lift,rule_score,antecedent_artistID,consequent_artistID,antecedent,consequent
3538,2453,6,0.003171247357293869,1.0,210.22222222222223,7.715771371897083,3588,2468,Kenny Chesney,Alan Jackson
3437,1799,6,0.003171247357293869,1.0,135.14285714285714,7.0783414512817915,3474,1808,Danger Danger,Ratt
4609,306,5,0.002642706131078224,1.0,118.25,6.885696373339395,4713,312,Teairra Mari,Cassie
4491,3195,5,0.002642706131078224,1.0,111.29411764705883,6.798233532089056,4585,3227,Method Man,Wu-Tang Clan
763,735,6,0.003171247357293869,1.0,105.11111111111111,6.715771371897083,772,744,Proem,Autechre
763,610,6,0.003171247357293869,1.0,105.11111111111111,6.715771371897083,772,616,Proem,Squarepusher
6477,272,5,0.002642706131078224,1.0,99.57894736842105,6.63776885989581,6619,278,Obie Trice,2Pac
3538,2438,5,0.002642706131078224,0.8333333333333334,225.23809523809527,6.512755871206664,3588,2453,Kenny Chesney,Tim McGraw
363,382,7,0.0036997885835095136,0.875,165.55,6.449732800445933,369,388,2PM,B2ST
2438,2453,6,0.003171247357293869,0.8571428571428571,180.19047619047618,6.422896243337687,2453,2468,Tim McGraw,Alan Jackson
3533,2453,6,0.003171247357293869,0.8571428571428571,180.19047619047618,6.422896243337687,3583,2468,Luke Bryan,Alan Jackson
2440,2453,6,0.003171247357293869,0.8571428571428571,180.19047619047618,6.422896243337687,2455,2468,Toby Keith,Alan Jackson
763,2657,5,0.002642706131078224,0.8333333333333334,197.08333333333334,6.352218306254668,772,2677,Proem,Bola
11478,2874,5,0.002642706131078224,0.8333333333333334,197.08333333333334,6.352218306254668,11885,2894,Johnny Winter,Buddy Guy
6816,2297,5,0.002642706131078224,0.8333333333333334,197.08333333333334,6.352218306254668,6961,2312,Grup Yorum,Ahmet Kaya
8238,2297,5,0.002642706131078224,0.8333333333333334,197.08333333333334,6.352218306254668,8439,2312,Metin & Kemal Kahraman,Ahmet Kaya
5175,1402,6,0.003171247357293869,1.0,78.83333333333333,6.300733872618239,5297,1411,Van der Graaf Generator,King Crimson
