userID,motor,rank,artistID,artist_name
8,Popularidad simple,1,227,The Beatles
8,Popularidad simple,2,67,Madonna
8,Popularidad simple,3,190,Muse
8,Popularidad simple,4,333,Avril Lavigne
8,Popularidad simple,5,498,Paramore
8,Popularidad simple,6,154,Radiohead
8,Popularidad simple,7,466,Ke$ha
8,Popularidad simple,8,65,Coldplay
8,Popularidad simple,9,701,Shakira
8,Popularidad simple,10,55,Kylie Minogue
2,Popularidad simple,1,289,Britney Spears
2,Popularidad simple,2,227,The Beatles
2,Popularidad simple,3,288,Rihanna
2,Popularidad simple,4,300,Katy Perry
2,Popularidad simple,5,190,Muse
2,Popularidad simple,6,292,Christina Aguilera
2,Popularidad simple,7,333,Avril Lavigne
2,Popularidad simple,8,498,Paramore
2,Popularidad simple,9,295,Beyoncé
2,Popularidad simple,10,154,Radiohead
678,Popularidad simple,1,89,Lady Gaga
678,Popularidad simple,2,289,Britney Spears
678,Popularidad simple,3,288,Rihanna
678,Popularidad simple,4,300,Katy Perry
678,Popularidad simple,5,67,Madonna
678,Popularidad simple,6,333,Avril Lavigne
678,Popularidad simple,7,292,Christina Aguilera
678,Popularidad simple,8,498,Paramore
678,Popularidad simple,9,295,Beyoncé
678,Popularidad simple,10,154,Radiohead
1394,Popularidad simple,1,333,Avril Lavigne
1394,Popularidad simple,2,701,Shakira
1394,Popularidad simple,3,229,The Killers
1394,Popularidad simple,4,55,Kylie Minogue
1394,Popularidad simple,5,461,Miley Cyrus
1394,Popularidad simple,6,72,Depeche Mode
1394,Popularidad simple,7,163,Pink Floyd
1394,Popularidad simple,8,157,Michael Jackson
1394,Popularidad simple,9,377,Linkin Park
1394,Popularidad simple,10,234,Nirvana
8,Popularidad ponderada,1,227,The Beatles
8,Popularidad ponderada,2,67,Madonna
8,Popularidad ponderada,3,498,Paramore
8,Popularidad ponderada,4,190,Muse
8,Popularidad ponderada,5,333,Avril Lavigne
8,Popularidad ponderada,6,154,Radiohead
8,Popularidad ponderada,7,466,Ke$ha
8,Popularidad ponderada,8,65,Coldplay
8,Popularidad ponderada,9,55,Kylie Minogue
8,Popularidad ponderada,10,701,Shakira
2,Popularidad ponderada,1,289,Britney Spears
2,Popularidad ponderada,2,227,The Beatles
2,Popularidad ponderada,3,288,Rihanna
2,Popularidad ponderada,4,300,Katy Perry
2,Popularidad ponderada,5,292,Christina Aguilera
2,Popularidad ponderada,6,498,Paramore
2,Popularidad ponderada,7,190,Muse
2,Popularidad ponderada,8,333,Avril Lavigne
2,Popularidad ponderada,9,295,Beyoncé
2,Popularidad ponderada,10,154,Radiohead
678,Popularidad ponderada,1,89,Lady Gaga
678,Popularidad ponderada,2,289,Britney Spears
678,Popularidad ponderada,3,288,Rihanna
678,Popularidad ponderada,4,300,Katy Perry
678,Popularidad ponderada,5,67,Madonna
678,Popularidad ponderada,6,292,Christina Aguilera
678,Popularidad ponderada,7,498,Paramore
678,Popularidad ponderada,8,333,Avril Lavigne
678,Popularidad ponderada,9,295,Beyoncé
678,Popularidad ponderada,10,154,Radiohead
1394,Popularidad ponderada,1,333,Avril Lavigne
1394,Popularidad ponderada,2,55,Kylie Minogue
1394,Popularidad ponderada,3,701,Shakira
1394,Popularidad ponderada,4,461,Miley Cyrus
1394,Popularidad ponderada,5,72,Depeche Mode
1394,Popularidad ponderada,6,229,The Killers
1394,Popularidad ponderada,7,163,Pink Floyd
1394,Popularidad ponderada,8,377,Linkin Park
1394,Popularidad ponderada,9,157,Michael Jackson
1394,Popularidad ponderada,10,257,Mariah Carey
8,Coseno usuario-usuario,1,67,Madonna
8,Coseno usuario-usuario,2,55,Kylie Minogue
8,Coseno usuario-usuario,3,466,Ke$ha
8,Coseno usuario-usuario,4,701,Shakira
8,Coseno usuario-usuario,5,306,Black Eyed Peas
8,Coseno usuario-usuario,6,461,Miley Cyrus
8,Coseno usuario-usuario,7,333,Avril Lavigne
8,Coseno usuario-usuario,8,299,Jennifer Lopez
8,Coseno usuario-usuario,9,679,Glee Cast
8,Coseno usuario-usuario,10,325,Ashley Tisdale
2,Coseno usuario-usuario,1,1098,Björk
2,Coseno usuario-usuario,2,227,The Beatles
2,Coseno usuario-usuario,3,238,Massive Attack
2,Coseno usuario-usuario,4,190,Muse
2,Coseno usuario-usuario,5,511,U2
2,Coseno usuario-usuario,6,154,Radiohead
2,Coseno usuario-usuario,7,229,The Killers
2,Coseno usuario-usuario,8,1001,Pet Shop Boys
2,Coseno usuario-usuario,9,157,Michael Jackson
2,Coseno usuario-usuario,10,159,The Cure
678,Coseno usuario-usuario,1,163,Pink Floyd
678,Coseno usuario-usuario,2,230,Green Day
678,Coseno usuario-usuario,3,229,The Killers
678,Coseno usuario-usuario,4,724,Ozzy Osbourne
678,Coseno usuario-usuario,5,868,The Doors
678,Coseno usuario-usuario,6,1369,Black Sabbath
678,Coseno usuario-usuario,7,918,Megadeth
678,Coseno usuario-usuario,8,2347,Van Halen
678,Coseno usuario-usuario,9,176,Scorpions
678,Coseno usuario-usuario,10,2343,KISS
1394,Coseno usuario-usuario,1,333,Avril Lavigne
1394,Coseno usuario-usuario,2,701,Shakira
1394,Coseno usuario-usuario,3,461,Miley Cyrus
1394,Coseno usuario-usuario,4,55,Kylie Minogue
1394,Coseno usuario-usuario,5,528,Pixie Lott
1394,Coseno usuario-usuario,6,544,Adam Lambert
